"legal_entity_id","division_id","division_name","division_type","division_phone","division_email","residence_area","residence_gromada_name","residence_gromada_koatuu","residence_region","residence_settlement_type","residence_settlement","residence_settlement_koatuu","residence_addresses","location","lat","lng"
"35ede609-1bb5-41db-9368-b7d3117d0fa4","0097abec-0054-4cef-93b4-b1222c919122","Поліклінічне відділення","Місце провадження діяльності","+380414350420","berdychivcrl@gmail.com","ЖИТОМИРСЬКА","БЕРДИЧІВСЬКА","1810400000",NULL,"місто","БЕРДИЧІВ","1810400000","ЖИТОМИРСЬКА область, місто Бердичів, вулиця Житомирська, 85-а","01010000002E90A0F831963C402A00C63368F44840","49.90943","28.5867"
"8cbbe2d0-0fb3-4f48-bec0-9d278d78fa2e","0081f79b-77bc-46cb-a810-75e062c2d2e2","Амбулаторія загальної практики-сімейної медицини № 4","Амбулаторія","+380473351606","sm_centr@ukr.net","ЧЕРКАСЬКА","СМІЛЯНСЬКА","7110500000",NULL,"місто","СМІЛА","7110500000","ЧЕРКАСЬКА область, місто СМІЛА, вулиця Героїв Холодноярців, 82а","0101000000B438639813E83F404B21904B1C9D4840","49.227426","31.906549"
"f6bd3599-799a-4ddf-99af-369bbabba4b7","0081dcc3-0f3f-4164-bb26-4ed7a427c2bb","Амбулаторія загальної практики - сімейної медицини №5 КНП \","Амбулаторія","+380676285102, +380676285102","amb5cpmsp5@ukr.net","ДНІПРОПЕТРОВСЬКА","КРИВОРІЗЬКА","1211000000",NULL,"місто","КРИВИЙ РІГ","1211000000","ДНІПРОПЕТРОВСЬКА область, місто КРИВИЙ РІГ, вулиця Колійна, 26","0101000000158C4AEA04BC40402FDD240681F54740","47.918","33.4689"
"d2257ff9-cd3d-4900-96eb-876585352376","0081c0ac-1122-4d83-8f2c-05266290eac9","Оперативно-диспетчерська служба","Місце провадження діяльності","+380542682031","sumy103@ukr.net","СУМСЬКА","СУМСЬКА","5910100000",NULL,"місто","СУМИ","5910100000","СУМСЬКА область, місто СУМИ, провулок Громадянський, 4 А","010100000075125B8B60724940E437E04E7D634140","50.8935713","34.7772616"
"16318530-b826-4e53-aeb8-2fa22ddcb8e5","007f7a7b-ce24-4342-851c-b06f3b7a0149","ФОП Білоус Марія Миколаївна","Амбулаторія","+380689633016","klinika_simeynogo_likaria@ukr.net","М.КИЇВ","КИЇВ","8000000000",NULL,"місто","КИЇВ","8000000000","М.КИЇВ, місто КИЇВ, вулиця Шумського, 4-а","0101000000081F4AB4E4993E406E162F1686364940","50.425967","30.601146"
"7aa30036-55b2-446c-9d1d-67feddfacf0d","0076f2bb-3d16-425b-bc83-c521e2a4ab3f","Відокремлений структурний підрозділ № 10 медичного центру ТОВ ""НЕФРОЦЕНТР""","Місце провадження діяльності","+380667988387","nefrocentre@gmail.com","РІВНЕНСЬКА","РАДИВИЛІВСЬКА","5625810100","ДУБЕНСЬКИЙ","місто","РАДИВИЛІВ","5625810100","РІВНЕНСЬКА область, ДУБЕНСЬКИЙ район, місто РАДИВИЛІВ, вулиця Садова, 4","0101000000EBABAB02B54039409F0436E7E00F4940","50.372050","25.503712"
"8838b490-391f-4017-9687-a4245733d460","0058572a-5b42-4e73-8d90-5591e8c46a8d","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""МІСЬКА ЛІКАРНЯ № 28"" ХАРКІВСЬКОЇ МІСЬКОЇ РАДИ(вул.М.Гуревича)","Місце провадження діяльності","+380577255470","likarnya28@ukr.net","ХАРКІВСЬКА","ХАРКІВСЬКА","6310100000",NULL,"місто","ХАРКІВ","6310100000","ХАРКІВСЬКА область, місто ХАРКІВ, вулиця Михайла Гуревича, 14","0101000000228D0A9C6C2342403999B85510054940","49.9188005","36.2132765"
"fae4cfa6-6e22-47be-ad0d-8b0c67dc9894","004ca723-6d73-4911-99d1-9ddfd8d561a0","Поліклінічне відділення","Місце провадження діяльності","+380684653177","01992682@mail.gov.ua","ЗАКАРПАТСЬКА","ТЯЧІВСЬКА","2124410100","ТЯЧІВСЬКИЙ","місто","ТЯЧІВ","2124410100","ЗАКАРПАТСЬКА область, ТЯЧІВСЬКИЙ район, місто ТЯЧІВ, вулиця Голлоші, 1","0101000000F5AA84DD669237407E9FBB6E5B014840","48.0106028","23.5718821"
"349f317e-bd1e-4dab-8d6a-1a4ba5d78b3a","004a9fcc-12ea-4f31-b348-649db62a2328","Товариство з обмеженою відповідальністю ""Оксфорд Медікал - Одеса""","Філія (інший відокремлений підрозділ)","+380487255500","oxfordmed@gmail.com","ОДЕСЬКА","ОДЕСЬКА","5110100000",NULL,"місто","ОДЕСА","5110100000","ОДЕСЬКА область, місто ОДЕСА, вулиця Академіка Корольова, 34а","01010000002B4B749659B83E403944DC9C4A344740","46.408527","30.720117"
"b65e78af-b122-418e-a703-03cb65c1e85a","004423b3-0c35-45e7-8b95-f1326dec9c84","Золочівська патологоанатомічна лабораторія","Місце провадження діяльності","+380322755020","lokl@ukr.net","ЛЬВІВСЬКА","ЗОЛОЧІВСЬКА","4621810100","ЗОЛОЧІВСЬКИЙ","місто","ЗОЛОЧІВ","4621810100","ЛЬВІВСЬКА область, ЗОЛОЧІВСЬКИЙ район, місто ЗОЛОЧІВ, вулиця Академіка Павлова, 48","01010000001590F63FC0E63840168733BF9AE74840","49.80941","24.901371"
