"legal_entity_id","legal_entity_name","legal_entity_edrpou","care_type","property_type","legal_entity_email","legal_entity_website","legal_entity_phone","legal_entity_owner_name","registration_area","registration_settlement","registration_address","lat","lng"
"d47d5340-a1e1-4315-bcd6-bd97a37a3776","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""П'ЯТИХАТСЬКА ЦЕНТРАЛЬНА МІСЬКА ЛІКАРНЯ"" П'ЯТИХАТСЬКОЇ МІСЬКОЇ РАДИ","01989088","Спеціалізована","Комунальна","pyatmed@ukr.net","","+380963711895","Шахман Ігор Анатолійович","ДНІПРОПЕТРОВСЬКА","П'ЯТИХАТКИ","Україна, 52100, Дніпропетровська обл., Кам'янський р-н, місто П'ятихатки, вул.Прокопенко, будинок 13","48.3981779","33.7020775"
"5759d787-c23a-4c73-a6dd-49b61ebfd751","Комунальне некомерційне підприємство ""Братська лікарня"" Братської селищної ради Миколаївської області","01998331","Спеціалізована","Комунальна","bratska_likarnja986@ukr.net","","+380513191304","Рябова Тетяна Петрівна","МИКОЛАЇВСЬКА","БРАТСЬКЕ(З)","Україна, 55401, Миколаївська обл., Вознесенський р-н, селище міського типу Братське(з), вул.Чернишевського, будинок 49","47.8563061","31.5771253"
"25e4e652-3e98-41bf-9d9f-a667447da14b","САВЧУК ЛЮДМИЛА МИКОЛАЇВНА","ФОП","Первинна","ФОП","ljudkasavchuk@gmail.com","","+380666469353","Савчук Людмила Миколаївна","ЧЕРНІГІВСЬКА","СОСНИЦЯ","Україна, 16100, Чернігівська обл., Сосницький р-н, селище міського типу Сосниця, ВУЛИЦЯ І.БОГУНА, будинок 15","51.5293489","32.4975854"
"159337e0-a617-4f25-bca5-59b352d6291b","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""НЕМОВИЦЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" НЕМОВИЦЬКОЇ СІЛЬСЬКОЇ РАДИ САРНЕНСЬКОГО РАЙОНУ РІВНЕНСЬКОЇ ОБЛАСТІ","42011926","Первинна","Комунальна","nemovuchi.cpmsd@gmail.com","","+380685147749","Генько Людмила Петрівна","РІВНЕНСЬКА","НЕМОВИЧІ","Україна, 34540, Рівненська обл., Сарненський р-н, село Немовичі, ВУЛИЦЯ ЦЕНТРАЛЬНА, будинок 11","51.2555723","26.6361176"
"5695d927-8f8b-4f7e-83ac-2cf18b9cb818","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ № 2"" ГОЛОСІЇВСЬКОГО РАЙОНУ М. КИЄВА","38945128","Первинна","Комунальна","cpmsd2golos.pev@ukr.net","","+380445245304","Лось Галина Миколаївна","М.КИЇВ","КИЇВ","Україна, 03039, місто Київ, ВУЛИЦЯ ГОЛОСІЇВСЬКА, будинок 53","50.3970874","30.5122775"
"113327f4-59f2-411b-ae57-98bd48ae8ad6","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ''ЗБОРІВСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ'' ЗБОРІВСЬКОЇ МІСЬКОЇ РАДИ","39153580","Спеціалізована","Комунальна","39153580@ukr.net","","+380354023039","Кабарівський Андрій Олександрович","ТЕРНОПІЛЬСЬКА","ЗБОРІВ","Україна, 41720, Тернопільська обл., Тернопільський р-н, місто Зборів, вул.Хмельницького Б., будинок 24","49.6606959","25.1434667"
"df2734d0-e3cd-407a-9469-552038043bca","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""КАЛУСЬКИЙ МІСЬКИЙ ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ КАЛУСЬКОЇ МІСЬКОЇ РАДИ""","26482717","Первинна","Комунальна","kmcpmsd@ukr.net","www.kmp.if.ua","+380347262474","Гаврилишин Михайло Богданович","ІВАНО-ФРАНКІВСЬКА","КАЛУШ","Україна, 77300, Івано-Франківська обл., місто Калуш, ВУЛИЦЯ БОГДАНА ХМЕЛЬНИЦЬКОГО, будинок 32","49.0408415","24.3539397"
"d8700155-1726-4b54-b2c0-112a48e7421c","КОМУНАЛЬНЕ ПІДПРИЄМСТВО ""ЦЕНТР ПЕРВИННОЇ МЕДИКО-САНІТАРНОЇ ДОПОМОГИ"" ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ","41931754","Спеціалізована","Комунальна","mail@likar.center","https://likar.center","+380412432000","Шрамко Віктор Іванович","ЖИТОМИРСЬКА","ЖИТОМИР","Україна, 10020, Житомирська обл., місто Житомир, МАЙДАН ВИЗВОЛЕННЯ, будинок 1","50.2759361","28.6440635"
"6fcf793a-e148-470c-935d-9497851015d6","КОМУНАЛЬНЕ НЕКОМЕРЦІЙНЕ ПІДПРИЄМСТВО ""ДИТЯЧА КЛІНІЧНА ЛІКАРНЯ №4 СОЛОМ'ЯНСЬКОГО РАЙОНУ МІСТА КИЄВА"" ВИКОНАВЧОГО ОРГАНУ КИЇВСЬКОЇ МІСЬКОЇ РАДИ (КИЇВСЬКОЇ МІСЬКОЇ ДЕРЖАВНОЇ АДМІНІСТРАЦІЇ)","01994037","Спеціалізована","Комунальна","irinasevryk@ukr.net","","+380444970102","Каплун Марина Миколаївна","М.КИЇВ","КИЇВ","Україна, 03126, місто Київ, ПРОСПЕКТ ЛЮБОМИРА ГУЗАРА, будинок 3","50.4359098","30.4125851"
"e718fe29-bc10-4656-aa9b-a3116169cc38","ПРИВАТНЕ ПІДПРИЄМСТВО ""ФЛОРІС-С""","34933234","Спеціалізована","Приватна (без ФОП)","floris.sumy@gmail.com","www.floris-sumy.com.ua","+380665327809","Гапченко Тетяна Іванівна","СУМСЬКА","СУМИ","Україна, 40035, Сумська обл., місто Суми, ПРОСПЕКТ М. ЛУШПИ, будинок 7, квартира 38","50.9281709","34.8242465"
